"gender","Age","Attitude","deep","stra","surf","Points"
"F",53,37,3.63636363636364,3.375,2.58333333333333,25
"M",55,31,3,2.75,3.16666666666667,12
"F",49,25,3.04545454545455,3.625,2.25,24
"M",53,35,3.5,3.125,2.25,10
"M",49,37,3.68181818181818,3.625,2.83333333333333,22
"F",38,38,4.31818181818182,3.625,2.41666666666667,21
"M",50,35,3.68181818181818,2.25,1.91666666666667,21
"F",37,29,3.09090909090909,4,2.83333333333333,31
"M",37,38,4.09090909090909,4.25,2.16666666666667,24
"F",42,21,3.13636363636364,3.5,3,26
"M",37,39,3.72727272727273,3.625,2.66666666666667,31
"F",34,38,3.81818181818182,4.75,2.41666666666667,31
"F",34,24,3.40909090909091,3.625,2.25,23
"F",34,30,3.18181818181818,3.5,2.75,25
"M",35,26,3.45454545454545,1.75,2.33333333333333,21
"F",33,41,3.86363636363636,3.875,2.33333333333333,31
"F",32,26,3.40909090909091,1.375,2.91666666666667,20
"F",44,26,3.09090909090909,3.25,2.5,22
"M",29,17,3,3,3.75,9
"F",30,27,3.40909090909091,3.75,2.75,24
"M",27,39,3.90909090909091,2.625,2.33333333333333,28
"M",29,34,3.72727272727273,2.375,2.41666666666667,30
"F",31,27,3.40909090909091,3.625,3,24
"F",37,23,3.04545454545455,2.75,2.41666666666667,9
"F",26,37,3.68181818181818,1.75,2.83333333333333,26
"F",26,44,4.40909090909091,3.25,3.16666666666667,32
"M",30,41,4,4,3,32
"F",33,37,3.72727272727273,3.625,2,33
"F",33,25,2.90909090909091,2.875,3.5,29
"M",28,30,3.31818181818182,3,3.75,30
"M",26,34,4.22727272727273,1.625,2.5,19
"F",27,32,3.40909090909091,3.25,2.08333333333333,23
"F",25,20,2.5,3.5,2.41666666666667,19
"F",31,24,3.09090909090909,3,2.58333333333333,12
"M",20,42,4.36363636363636,3.25,1.58333333333333,10
"F",39,16,2.95454545454545,1.875,2.83333333333333,11
"M",38,31,3.5,4.375,1.83333333333333,20
"M",24,38,3.5,3.625,2.41666666666667,26
"M",26,38,3,2.5,3.25,31
"M",25,33,3.31818181818182,1.25,3.41666666666667,20
"F",30,17,3,4,3.41666666666667,23
"F",25,25,2.72727272727273,3,3.16666666666667,12
"M",30,32,3.27272727272727,2.5,3.5,24
"F",48,35,3.68181818181818,4.875,2.66666666666667,17
"F",24,32,3.45454545454545,5,2.41666666666667,29
"F",40,42,4.45454545454545,4.375,3.58333333333333,23
"M",25,31,3.45454545454545,3.25,2.08333333333333,28
"F",23,39,3.63636363636364,4,3.75,31
"F",25,19,3.13636363636364,3.125,2.91666666666667,23
"F",23,21,2.54545454545455,2.5,2.91666666666667,25
"M",27,25,3.40909090909091,3.125,2.41666666666667,18
"M",25,32,3.40909090909091,3.25,3,19
"M",23,32,3,2.125,3.41666666666667,22
